,tweet
50,"['kisruh', 'data', 'bocor', 'bssn', 'laku', 'langkah']"
51,[]
52,"['haduh', 'nih', 'fungsi', 'kominfo', 'gak', 'cuman', 'bocor', 'tonton', 'full', 'video', 'yt', 'cameo', 'link', 'bio']"
53,"['rakyat', 'indonesia', 'puja', 'muja', 'bjorka', 'ngehack', 'bocor', 'data', 'pribadi', 'membully', 'rakyat', 'indonesia']"
54,"['data', 'rakyat', 'curi', 'peduli', 'data', 'ambil', 'panik', 'indah', 'negri', 'ku', 'jabat', 'nomor', '1', 'rakyat', 'no', '100', 'september2022']"
55,"['badan', 'intelijen', 'negara', 'bin', 'angkat', 'bicara', 'kait', 'isu', 'bocor', 'ribu', 'surat', 'kirim', 'presiden', 'joko', 'widodo', 'jokowi', 'ri']"
56,"['bjorka', 'resah']"
57,"['kasetpres', 'bantah', 'data', 'surat', 'dokumen', 'presiden', 'bocor']"
58,"['7', 'tegak', 'hukum', 'tindak', 'hukum', 'nyata', 'resmi', 'jabat', 'kait', 'kepala', 'sekretariat', 'presiden', 'heru', 'budi', 'hartono', 'simak', 'informasi', 'lengkap', 'artikel']"
59,"['6', 'juru', 'bicara', 'bin', 'wawan', 'purwanto', 'menep', 'kabar', 'dokumen', 'surat', 'surat', 'bin', 'presiden', 'bocor', 'wawan', 'surat', 'presiden', 'kam', 'khusus']"
60,"['5', 'kepala', 'sekretariat', 'presiden', 'heru', 'budi', 'hartono', 'dokumen', 'surat', 'surat', 'presiden', 'joko', 'widodo', 'retas']"
61,"['4', 'dokumen', 'mohon', 'dukung', 'sarana', 'prasarana', 'surat', 'rahasia', 'presiden', 'amplop', 'tutup', 'gladi', 'bersih', 'laksana', 'upacara', 'bendera', 'ingat', 'hut', '74', '2019']"
62,"['3', 'dokumen', 'dokumen', 'periode', '2018', '2021', 'unggah', 'situs', 'salah', 'dokumen', 'asal', 'badan', 'intelijen', 'negara', 'bin', 'presiden', 'jokowi']"
63,"['2', 'unggah', 'hacker', 'unggah', 'total', '679180', 'dokumen', 'ukur', '40', 'mb']"
64,"['1', 'kali', 'hacker', 'klaim', 'milik', 'surat', 'dokumen', 'presiden', 'republik', 'indonesia', 'dokumen', 'kepala', 'negara', 'bocor', 'deep', 'web', 'aktor', 'jahat', 'nama', 'bjorka']"
65,"['mosok', 'bjorka', 'orang', 'indonesia', 'geser', 'satelit']"
66,"['thread', 'ramai', 'surat', 'rahasia', 'presiden', 'klaim', 'bocor', 'bin', 'tegas', 'hoaks']"
